clap_rank,guitar_rank,hat_rank,kick_rank,piano_rank,rim_rank,shake_rank,snare_rank,synth_rank,clap,guitar,hat,kick,piano,rim,shake,snare,synth,oscType_0,isNoise_0,A_0,D_0,S_0,R_0,pitch_0_0,pitch_1_0,pitch_2_0,pitch_3_0,bpCutLow_0,bpCutHigh_0,bpOrder_0,amplitude_0,start_0,length_0
8.0,3.0,2.0,7.0,6.0,5.0,9.0,4.0,1.0,0.000577762839384377,0.16813737154006958,0.1828773319721222,0.024769799783825874,0.028875960037112236,0.05320543050765991,0.0,0.14695514738559723,0.3946011960506439,2,0,2,2,2,1,94,60,24,48,14,111,1,0,6,2
9.0,6.0,1.0,4.0,8.0,7.0,3.0,5.0,2.0,0.0,0.05350398272275925,0.26878389716148376,0.13446475565433502,0.01108772773295641,0.039670467376708984,0.13469602167606354,0.12544190883636475,0.23235124349594116,0,1,2,1,1,0,72,8,24,96,106,114,0,3,7,2
9.0,3.0,4.0,2.0,6.0,5.0,8.0,7.0,1.0,0.0,0.16353075206279755,0.11406289041042328,0.21976768970489502,0.050934795290231705,0.0852087065577507,0.036468591541051865,0.03718369081616402,0.29284289479255676,0,0,1,1,3,1,78,36,32,48,26,36,1,0,7,1
5.0,4.0,1.0,8.0,7.0,9.0,3.0,6.0,2.0,0.08300600200891495,0.12848584353923798,0.2317056804895401,0.03284750506281853,0.06676007807254791,0.0,0.18045692145824432,0.07676936686038971,0.1999685913324356,0,1,2,1,0,1,60,0,8,0,90,116,0,2,6,1
5.0,3.0,2.0,8.0,7.0,9.0,6.0,4.0,1.0,0.10639290511608124,0.1588442176580429,0.17101499438285828,0.026300067082047462,0.07618696242570877,0.0,0.08027908205986023,0.11823157966136932,0.26275017857551575,0,1,2,3,3,0,90,40,32,80,62,115,0,0,4,0
9.0,4.0,3.0,2.0,5.0,8.0,7.0,6.0,1.0,0.0,0.12672209739685059,0.14091989398002625,0.24831849336624146,0.05760661140084267,0.054936546832323074,0.05500916764140129,0.056876521557569504,0.259610652923584,0,0,1,2,3,3,30,32,16,48,50,119,0,0,7,0
9.0,4.0,3.0,1.0,7.0,6.0,5.0,8.0,2.0,0.0,0.11164253205060959,0.15545259416103363,0.2792257070541382,0.04489068686962128,0.05081639811396599,0.08134226500988007,0.028020888566970825,0.24860891699790955,0,0,3,3,0,1,96,80,24,96,20,31,2,1,8,1
8.0,2.0,4.0,3.0,7.0,6.0,5.0,9.0,1.0,0.0035695484839379787,0.19786371290683746,0.136048823595047,0.1434798240661621,0.04681570082902908,0.05047845095396042,0.05172322690486908,0.0,0.37002071738243103,0,1,0,1,3,0,10,60,96,16,54,56,1,0,3,1
8.0,3.0,2.0,7.0,9.0,5.0,6.0,4.0,1.0,0.06337007880210876,0.14410193264484406,0.15264655649662018,0.06584571301937103,0.0,0.1298368126153946,0.08622368425130844,0.14176635444164276,0.21620886027812958,1,0,0,1,0,3,116,16,56,80,86,92,1,2,1,5
8.0,7.0,2.0,5.0,9.0,6.0,4.0,3.0,1.0,0.029935011640191078,0.0403766967356205,0.23185375332832336,0.10995537787675858,0.0,0.08966130763292313,0.12448600679636002,0.13736721873283386,0.23636461794376373,0,1,0,3,1,3,104,104,40,80,92,101,1,1,3,1
9.0,5.0,4.0,2.0,7.0,3.0,8.0,6.0,1.0,0.0,0.13204380869865417,0.13485319912433624,0.16779759526252747,0.0601397380232811,0.15970884263515472,0.03339070826768875,0.09301549196243286,0.21905061602592468,0,0,0,3,1,0,56,92,96,112,42,58,2,1,0,9
6.0,2.0,7.0,8.0,3.0,4.0,9.0,5.0,1.0,0.09550655633211136,0.17363882064819336,0.08870632201433182,0.05101599916815758,0.13949313759803772,0.13302618265151978,0.0,0.13142624497413635,0.18718674778938293,2,0,3,1,0,3,114,112,104,0,58,93,2,1,2,1
9.0,3.0,4.0,5.0,2.0,6.0,8.0,7.0,1.0,0.0,0.1797957867383957,0.12324462831020355,0.1103963553905487,0.18207059800624847,0.10029469430446625,0.020593052729964256,0.036331623792648315,0.2472732663154602,2,0,3,1,1,1,38,44,64,16,50,68,0,2,8,1
